BLOWY  B L OW1 IY0
BODEY  B OW1 D IY0
BOGEY  B OW1 G IY0
BOLEY  B OW1 L IY0
BONEY  B OW1 N IY0
BOVEY  B OW1 V IY0
BRODY  B R OW1 D IY0
BRONY  B R OW1 N IY2
CLOEY  K L OW1 IY0
COADY  K OW1 D IY0
COBEY  K OW1 B IY0
CODAY  K OW1 D EY1
COLBY  K OW1 L B IY0
COLEY  K OW1 L IY0
CONEY  K OW1 N IY0
COSEY  K OW1 Z IY0
CRONY  K R OW1 N IY0
DOKEY  D OW1 K IY0
DOLBY  D OW1 L B IY0
DOLEY  D OW1 L IY0
DOPEY  D OW1 P IY0
FOAMY  F OW1 M IY0
FOLEY  F OW1 L IY0
GOKEY  G OW1 K IY2
GOLDY  G OW1 L D IY0
GOLEY  G OW1 L IY0
HOAGY  HH OW1 G IY0
HOKEY  HH OW1 K IY0
HOMEY  HH OW1 M IY0
HOSEY  HH OW1 Z IY0
HOVEY  HH OW1 V IY0
JOSEY  JH OW1 Z IY0
LOAMY  L OW1 M IY0
LOCEY  L OW1 S IY0
LOEWY  L OW1 IY0
LOKEY  L OW1 K IY0
LONEY  L OW1 N IY0
LOSEY  L OW1 S IY0
LOWEY  L OW1 IY0
LOWLY  L OW1 L IY0
MOBAY  M OW0 B EY1
MOLDY  M OW1 L D IY0
MOSEY  M OW1 Z IY0
MOWDY  M OW1 D IY0
NOVEY  N OW1 V IY0
O'DAY  OW0 D EY1
OAKEY  OW1 K IY0
OLNEY  OW1 L N IY0
OLVEY  OW1 L V IY0
OVARY  OW1 V ER2 IY0
OVERY  OW1 V ER0 IY0
PHONY  F OW1 N IY0
POKEY  P OW1 K IY0
POLEY  P OW1 L IY0
POSEY  P OW1 Z IY0
PRODY  P OW1 D IY0
RHODY  R OW1 D IY0
ROADY  R OW1 D IY0
ROBEY  R OW1 B IY0
ROLEY  R OW1 L IY0
ROLLY  R OW1 L IY0
ROMEY  R OW1 M IY0
RONEY  R OW1 N IY0
ROSEY  R OW1 Z IY0
ROWLY  R OW1 L IY0
ROWNY  R OW1 N IY0
SCOBY  S K OW1 B IY0
SHOWY  SH OW1 IY0
SMOKY  S M OW1 K IY0
SNOWY  S N OW1 IY0
SOADY  S OW1 D IY0
SOAPY  S OW1 P IY0
SOBEY  S OW1 B IY0
SOLEY  S OW1 L IY0
SOPHY  S OW1 F IY0
SOUCY  S OW1 S IY0
SOVEY  S OW1 V IY0
STONY  S T OW1 N IY0
TOBEY  T OW1 B IY0
TOLLY  T OW1 L IY0
TOMEY  T OW1 M IY0
TONEY  T OW1 N IY0
TOVEY  T OW1 V IY0
TOWEY  T OW1 IY0
